medcodeid	term
728671000006119	Malignant hypertensive heart disease with congestive cardiac failure
789941000006117	Hypertensive heart and renal disease with both (congestive) heart failure and renal failure
1.19984210000e+16	NYHA (New York Heart Association) Classification class
300214014	Post cardiac operation functional disturbance
5056831000006119	HCM - Hypertrophic cardiomyopathy
324975010	Heart-lung transplant failure and rejection
300055016	Dystrophic cardiomyopathy
2805341000006119	Pulmonary edema
3343411000006113	Primary familial dilated cardiomyopathy
324974014	Heart transplant failure and rejection
299853015	Other chronic pulmonary heart disease NOS
2585431000006117	Chronic left-sided congestive heart failure
6611081000006118	Restrictive cardiomyopathy with endomyocardial fibrosis
350413012	Congestive obstructive cardiomyopathy
300217019	Post cardiac operation heart failure NOS
370261000006111	[X]Cardiomyopathy in infectious+parasitic diseases CE
8048061000006111	Chronic combined systolic and diastolic heart failure
884211000006114	Other pulmonary heart disease
7573191000006115	Heart failure with reduced ejection fraction due to myocarditis
884191000006113	Chronic pulmonary heart dis.
300884014	[X]Other specified pulmonary heart diseases
6914191000006115	Systolic heart failure
7475721000006114	Heart failure due to end stage congenital heart disease
6043761000006113	Refractory heart failure
299848013	Acute pulmonary heart disease NOS
6204381000006117	Acute right-sided heart failure
7119761000006112	Chronic left ventricular systolic dysfunction
7487191000006113	Right ventricular cardiac dysfunction
4005301000006110	Biventricular failure
2660881000006116	High output heart failure
3152691000006117	Acute pulmonary edema
7507301000006110	Acute exacerbation of chronic congestive heart failure
3552501000006119	Hypertensive cardiopathy
1.34840310000e+16	Cardiomyopathy due to disease caused by SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2)
7052811000006113	Right heart failure due to pulmonary hypertension
7964821000006113	Nonischemic congestive cardiomyopathy
8011111000006111	Congestive heart failure with right heart failure
5331161000006112	Arrhythmogenic right ventricular cardiomyopathy
3244761000006113	Hypertensive heart failure
3343421000006117	Familial dilated cardiomyopathy
395766015	Obscure African cardiomyopathy
3800291000006115	COR - Chronic cor pulmonale
6973241000006110	New York Heart Classification finding
3182531000006110	Congestive heart disease
3229421000006114	HOCM - Hypertrophic obstructive cardiomyopathy
3182561000006118	CHF - Congestive heart failure
2934111000006116	Familial amyloid cardiomyopathy
4777111000006110	HCM - Hypertrophic non-obstructive cardiomyopathy
1.39716610000e+16	Infiltrative cardiomyopathy
7487181000006110	Dysfunction of right cardiac ventricle
1.45091110000e+16	Dilated cardiomyopathy of ischaemic origin
3360091000006112	Primary idiopathic dilated cardiomyopathy
7510341000006110	Symptomatic congestive heart failure
4540521000006111	History of heart failure
3152721000006110	Pulmonary oedema - acute
2504341000006116	Acute left heart failure
3513911000006111	Puerperal cardiomyopathy
7806081000006118	Cardiomyopathy and renal anomaly syndrome
1.44996510000e+16	Dilated cardiomyopathy due to metabolic disorder
3974561000006115	Pleural effusion due to congestive heart failure
305601017	Cardiac failure following abortive pregnancy
8065541000006115	Cardiomyopathy due to viral infection
1.19984710000e+16	Assessment using NYHA (New York Heart Association) Classification
3886061000006119	Left-sided heart failure
2581861000006110	Hypertensive heart disease with congestive heart failure
3213831000006118	Right heart failure secondary to left heart failure
3623041000006114	Replacement of pulmonary heart valve in total repair of tetralogy of Fallot
3842421000006111	Congestive rheumatic heart failure
3859111000006117	Dilated cardiomyopathy caused by alcohol
3866161000006118	Primary familial hypertrophic cardiomyopathy
359673017	Hauptmann-Thannhauser muscular dystrophy
5560071000006117	Pulmonary heart disease
7275961000006118	Acute on chronic diastolic heart failure
7347751000006119	Left ventricular myocardial noncompaction cardiomyopathy
7560331000006116	Dilated cardiomyopathy 3B
7560341000006114	DMD-associated dilated cardiomyopathy
1.20491510000e+16	Familial dilated cardiomyopathy with conduction defect due to LMNA mutation
1.41963310000e+16	Pulmonary heart disease
1.39713010000e+16	Low output heart failure due to and following Fontan operation
3152701000006117	Acute edema of lung
3868341000006118	HF - Heart failure
6212531000006117	Cardiogenic pulmonary oedema
3552521000006112	Hypertensive cardiovascular disease
3229411000006118	Obstructive cardiomyopathy
3489281000006119	Hypertensive heart disease without congestive heart failure
3809001000006112	Acute right-sided congestive heart failure
300046019	Mucopolysaccharidosis cardiomyopathy
6873351000006110	Constrictive cardiomyopathy
7262501000006110	Combined systolic and diastolic dysfunction
7274561000006113	Acute on chronic systolic heart failure
7475611000006114	Cardiomyopathy due to neuromuscular disorder
1.18588510000e+16	Pacing-induced cardiomyopathy
7735491000006113	Transthyretin related familial amyloid cardiomyopathy
7738911000006118	Familial isolated arrhythmogenic right ventricular dysplasia
3852501000006115	Malignant hypertensive heart disease with congestive heart failure
3927521000006118	Chronic cardiopulmonary disease
3152731000006113	Pulmonary edema - acute
3152711000006119	Acute oedema of lung
3868321000006113	Weak heart
3868311000006117	Myocardial failure
3868351000006116	Cardiac insufficiency
5990971000006113	History of heart failure in last year
6895651000006113	Emergency hospital admission for heart failure
1.24900610000e+16	Admit heart failure emergency
6615901000006114	Congestive dilated cardiomyopathy
6615871000006114	CCM - Congestive cardiomyopathy
6615881000006112	COCM - Congestive cardiomyopathy
6212571000006119	Acute cardiogenic pulmonary edema
6212541000006110	Cardiogenic pulmonary edema
6212551000006112	Acute cardiac pulmonary edema
6212561000006114	Acute cardiogenic pulmonary oedema
5586371000006119	Cardiac failure developing in the perinatal period
5602531000006118	Sepsis-associated left ventricular failure
5602541000006111	Sepsis-associated right ventricular failure
3552531000006110	HHD - Hypertensive heart disease
3552511000006116	Hypertensive cardiomegaly
3669421000006118	Asthma - cardiac
2504331000006114	Acute left-sided heart failure
2529901000006111	Dilated cardiomyopathy secondary to toxic reaction
2530931000006112	Dilated cardiomyopathy secondary to metazoal myocarditis
2543761000006114	Dilated cardiomyopathy secondary to myotonic dystrophy
2580171000006116	Cardiac insufficiency due to prosthesis
2580181000006118	Heart failure due to prosthesis
2595681000006117	Dilated cardiomyopathy secondary to sarcoidosis
2631011000006118	Dilated cardiomyopathy secondary to haemochromatosis
2631021000006114	Dilated cardiomyopathy secondary to hemochromatosis
2676691000006113	Dilated cardiomyopathy secondary to phytanic acid storage disease
2676711000006111	Dilated cardiomyopathy secondary to Refsum disease
2676701000006113	Dilated cardiomyopathy secondary to Refsum's disease
2699901000006110	Dilated cardiomyopathy secondary to radiation
2699911000006113	Dilated cardiomyopathy caused by radiation
2746601000006112	Restrictive cardiomyopathy secondary to infiltrations
2757771000006111	Dilated cardiomyopathy secondary to peripartum heart disease
2840701000006117	Dilated cardiomyopathy secondary to rheumatoid arthritis
2892421000006113	Restrictive cardiomyopathy secondary to malignancy
2908651000006113	Low output heart failure
2934071000006112	Danish type familial amyloid cardiomyopathy
2934091000006113	Danish type amyloidosis
2934081000006110	Familial amyloid heart disease
2934101000006119	Denmark type amyloidosis
2964231000006113	Dilated cardiomyopathy secondary to muscular dystrophy
2969451000006116	Dilated cardiomyopathy secondary to sensitivity
2991241000006116	Dilated cardiomyopathy secondary to viral myocarditis
2997821000006118	Restrictive cardiomyopathy secondary to familial storage disease
3031351000006116	Restrictive cardiomyopathy secondary to endocardial fibroelastosis
3035191000006110	Constrictive endocarditis
3035161000006119	Primary eosinophilic endomyocardial restrictive cardiomyopathy
3035201000006113	L̦ffler's parietal fibroplastic endocarditis
3035171000006114	Eosinophilic endomyocardial disease
3035181000006112	L̦ffler's endocarditis
3053021000006110	Dilated cardiomyopathy secondary to deficiency
3075181000006114	Dilated cardiomyopathy due to systemic sclerosis
3075191000006112	Dilated cardiomyopathy secondary to scleroderma
3075321000006112	Primary familial cardiomyopathy
3087841000006114	Dilated cardiomyopathy secondary to systemic lupus erythematosus
3128441000006111	Restrictive cardiomyopathy secondary to sarcoidosis
3138401000006112	Dilated cardiomyopathy secondary to granuloma
3152591000006116	Dilated cardiomyopathy secondary to protozoal myocarditis
3176431000006115	Hypertrophic cardiomyopathy secondary to neuromuscular disorder
3178551000006110	Primary endomyocardial fibrosis restrictive cardiomyopathy
3219591000006115	Dilated cardiomyopathy secondary to fungal myocarditis
3254291000006112	Dilated cardiomyopathy secondary to dermatomyositis
3258591000006117	Congestive cardiomyopathy due to selenium deficiency
3258581000006115	Keshan disease
3314361000006111	Dilated cardiomyopathy secondary to Friedreich's ataxia
3314371000006116	Dilated cardiomyopathy secondary to Friedreich ataxia
3314451000006119	Cobalt cardiomyopathy
3314461000006117	Beer-drinker's cardiomyopathy
3364811000006118	Hypertrophic cardiomyopathy secondary to Friedreich ataxia
3364801000006116	Hypertrophic cardiomyopathy secondary to Friedreich's ataxia
3370881000006114	Primary eosinophilic endomyocardial cardiomyopathy
3389851000006118	Dilated cardiomyopathy secondary to bacterial myocarditis
3402251000006117	Cardiac failure after obstetrical surgery AND/OR other procedure including delivery
3424991000006119	Restrictive cardiomyopathy secondary to hemochromatosis
3424981000006117	Restrictive cardiomyopathy secondary to haemochromatosis
3452461000006110	Dilated cardiomyopathy secondary to amyloidosis
3457111000006119	Dilated cardiomyopathy secondary to glycogen storage disease
3482991000006115	Dilated cardiomyopathy secondary to familial storage disease
3488561000006119	Cardiac insufficiency following cardiac surgery
3488571000006114	Heart failure following cardiac surgery
3527431000006113	Primary idiopathic hypertrophic cardiomyopathy
3541361000006118	Primary idiopathic restrictive cardiomyopathy
3550951000006114	Restrictive cardiomyopathy secondary to glycogen storage disease
3553111000006118	Dilated cardiomyopathy secondary to infiltration
3616311000006110	Primary endomyocardial fibrosis cardiomyopathy
3623031000006116	Repair of pulmonary heart valve with prosthesis in total repair of tetralogy of Fallot
3632101000006116	Nonobstructive cardiomyopathy
3687151000006112	Cardiomyopathy due to drug
3687171000006119	Dilated cardiomyopathy caused by drug
3687141000006110	Drug-induced cardiomyopathy
3687161000006114	Drug-induced specific heart muscle disorder
3687131000006117	Dilated cardiomyopathy secondary to drug
3706941000006119	Dilated cardiomyopathy secondary to malignancy
3718701000006116	Acute left-sided congestive heart failure
3750831000006111	Restrictive cardiomyopathy secondary to granulomas
3768511000006114	Benign hypertensive heart disease without congestive heart failure
3787161000006116	Dilated cardiomyopathy secondary to neuromuscular disorder
3797011000006119	Restrictive cardiomyopathy secondary to amyloidosis
3821291000006118	Heart failure cell
3821281000006116	Hemosiderin-laden macrophage
3821271000006119	Haemosiderin-laden macrophage
3855421000006119	Right heart failure due to pulmonary disease
3855411000006110	Right heart failure due to disorder of lung
3878001000006111	Restrictive cardiomyopathy secondary to mucopolysaccharidosis
3878171000006116	Dilated cardiomyopathy secondary to nutritive deficiency
3878181000006118	Nutritional cardiomyopathy
3896181000006114	Myocardiopathy
3901271000006117	Dilated cardiomyopathy secondary to infection
3914551000006112	Dilated cardiomyopathy secondary to mucopolysaccharidosis
3954121000006116	Primary cardiomyopathy
3959991000006115	Cardiac insufficiency during AND/OR resulting from a procedure
3960001000006113	Heart failure during AND/OR resulting from a procedure
3966281000006113	Dilated cardiomyopathy secondary to electrolyte deficiency
3987001000006110	Rheumatic heart valve failure
3988271000006114	Dilated cardiomyopathy secondary to polyarteritis nodosa
4022741000006114	Hypertrophic cardiomyopathy secondary to hyperthyroidism
4193381000006112	Dilated cardiomyopathy secondary to metabolic disorder
4193391000006110	Metabolic cardiomyopathy
4776131000006119	Generalized ischemic myocardial dysfunction
4777191000006117	Cardiomyopathy, secondary
1.19043310000e+16	Secondary cardiomyopathy NOS
1.27042210000e+16	Cardiomyopathy associated with another disorder
4777181000006115	Secondary cardiomyopathy
4777211000006116	Cardiomyopathy in Friedreich ataxia
5056841000006112	Post-myocarditic cardiomyopathy
5056871000006116	Restrictive cardiomyopathy without endomyocardial fibrosis
5056881000006118	Familial restrictive cardiomyopathy
5143111000006115	Benign scapuloperoneal muscular dystrophy with cardiomyopathy
5143171000006112	Severe scapuloperoneal muscular dystrophy with cardiomyopathy
2682661000006114	Postoperative pulmonary edema
5588241000006116	Haemorrhagic pulmonary oedema
5588251000006119	Hemorrhagic pulmonary edema
3257341000006116	Chronic pulmonary edema
6611091000006115	African endomyocardial fibrosis
6611101000006114	Obscure cardiomyopathy of Africa
6727771000006113	Hypertrophy of septomarginal trabeculation
6727781000006111	Moderator band cardiomyopathy
6850191000006114	Dilated cardiomyopathy associated with connective tissue disorder
6850201000006112	Dilated cardiomyopathy due to taurine deficiency
6878521000006115	Secondary restrictive cardiomyopathy
7065291000006119	Ischemic congestive cardiomyopathy
7274571000006118	Acute systolic heart failure
7275951000006115	Acute diastolic heart failure
7306501000006117	Secondary hypertrophic cardiomyopathy
7306491000006113	Hypertrophic cardiomyopathy associated with another disorder
7347741000006116	Right ventricular myocardial noncompaction cardiomyopathy
8037891000006112	Systolic heart failure stage D
8037901000006111	Systolic heart failure, stage D
8037911000006114	Systolic heart failure stage C
8037921000006118	Systolic heart failure, stage C
8037961000006112	Diastolic heart failure stage C
8037971000006117	Diastolic heart failure, stage C
8037941000006113	Diastolic heart failure stage D
8037951000006110	Diastolic heart failure, stage D
8021211000006111	Congestive heart failure stage D
8021221000006115	Congestive heart failure stage C
7475601000006111	Inflammatory cardiomyopathy
7475641000006113	Valvular cardiomyopathy
7475651000006110	Cardiomyopathy due to disorder of heart valve
7475701000006116	Pacing induced cardiomyopathy
7475711000006118	Ventricular myocardial noncompaction cardiomyopathy
7475731000006112	Hypertrophic cardiomyopathy with genetic marker
7475741000006119	Dilated cardiomyopathy with genetic marker
7475781000006113	Ischemic dilated cardiomyopathy due to coronary artery disease
7475771000006110	Ischemic congestive cardiomyopathy due to coronary artery disease
7475761000006115	Ischaemic congestive cardiomyopathy due to coronary artery disease
7475891000006117	Hypertrophic mitochondrial cardiomyopathy
7475881000006115	Mitochondrial cardiomyopathy
7475901000006118	Histiocytoid mitochondrial cardiomyopathy
7477861000006117	Right ventricular dysfunction due to disorder of left ventricle
7499321000006117	Induced termination of pregnancy complicated by cardiac failure
7500111000006111	Systolic heart failure stage A
8037931000006115	Systolic heart failure stage B
7500101000006113	Diastolic heart failure stage A
8037981000006119	Diastolic heart failure stage B
7501991000006113	Pulmonary hypertension due to systolic left ventricular dysfunction
7501981000006110	Pulmonary hypertension due to systolic systemic ventricular dysfunction
7502001000006110	Pulmonary hypertension due to diastolic systemic ventricular dysfunction
7502011000006113	Pulmonary hypertension due to diastolic left ventricular dysfunction
8048051000006114	Acute combined systolic and diastolic heart failure
8031661000006114	Congestive heart failure due to cardiomyopathy
7507311000006113	Acute on chronic congestive heart failure
8048071000006116	Acute on chronic combined systolic and diastolic heart failure
7525381000006119	Secondary nonischemic congestive cardiomyopathy
8022711000006111	Congestive heart failure as early postoperative complication
8001631000006110	Hypertensive heart AND chronic kidney disease with congestive heart failure
7530491000006119	Primary hypertrophic cardiomyopathy
7560351000006111	X-linked dilated cardiomyopathy
7560361000006113	Duchenne muscular dystrophy-associated dilated cardiomyopathy
7558431000006116	Salih congenital muscular dystrophy
7558421000006119	Early onset myopathy with fatal cardiomyopathy
7558441000006114	Salih myopathy
7573011000006114	Mitral valve regurgitation due to cardiomyopathy
8212081000006118	History of cardiomyopathy
7688011000006118	3-methylglutaconic aciduria type 5
7688021000006114	Dilated cardiomyopathy with ataxia syndrome
8464271000006117	Cardiomyopathy due to diphtheria infection
7705171000006112	Cardiomyopathy co-occurrent with human immunodeficiency virus infection
7735511000006119	ATTRV122I amyloidosis
7735501000006117	Transthyretin amyloid cardiopathy
7738921000006114	Familial isolated ARVD (arrhythmogenic right ventricular dysplasia)
7738931000006112	Familial isolated arrhythmogenic right ventricular cardiomyopathy
9834061000006116	Systolic heart failure stage C due to ischemic cardiomyopathy
9834051000006116	Systolic heart failure stage C due to ischaemic cardiomyopathy
7786951000006111	Najjar syndrome
7786941000006114	Malouf syndrome
7786921000006119	Dilated cardiomyopathy with hypergonadotropic hypogonadism syndrome
7786931000006116	Cardiogenital syndrome
7791761000006119	Tubular renal disease with cardiomyopathy syndrome
7806071000006116	Krasnow Qazi syndrome
7806061000006111	Cardiomyopathy with cataract and hip spine disease syndrome
9834021000006114	Systolic heart failure stage B due to ischaemic cardiomyopathy
9834031000006112	Systolic heart failure stage B due to ischemic cardiomyopathy
9834001000006116	Congestive heart failure stage B due to ischemic cardiomyopathy
9833991000006112	Congestive heart failure stage B due to ischaemic cardiomyopathy
9833971000006112	Congestive heart failure stage C due to ischaemic cardiomyopathy
9833981000006110	Congestive heart failure stage C due to Ischemic cardiomyopathy
8034201000006113	Cardiomyopathy due to hypertension
7810851000006118	Cardiac conduction disease with dilated cardiomyopathy and brachydactyly syndrome
7810841000006115	Atriodigital dysplasia Slovenian type
7810831000006113	Heart-hand syndrome Slovenian type
7762771000006116	Congenital cataract, hypertrophic cardiomyopathy, mitochondrial myopathy syndrome
7762781000006118	Sengers syndrome
7762881000006111	Glycogen storage disease type 15
7762871000006113	Glycogen storage disease with severe cardiomyopathy due to glycogenin deficiency
7762901000006113	Glycogenosis with severe cardiomyopathy due to glycogenin deficiency
7762891000006114	Glycogen storage disease type XV
7763221000006118	Congestive heart failure stage B
7838091000006110	Neonatal cardiac failure due to decreased left ventricular output
7850181000006112	Sensorineural deafness with dilated cardiomyopathy syndrome
7857711000006119	Neonatal cardiac failure due to pulmonary overperfusion
7868601000006115	Cardiomyopathy co-occurrent and due to cirrhosis of liver
7868591000006111	Cirrhotic cardiomyopathy
1.19984610000e+16	Assessment using New York Heart Association Classification
1.21275210000e+16	Cardiomyopathy caused by drug
1.20491610000e+16	Familial dilated cardiomyopathy with conduction defect due to lamin A/C mutation
1.34840510000e+16	Cardiomyopathy due to COVID-19
1.34840610000e+16	Cardiomyopathy due to disease caused by Severe acute respiratory syndrome coronavirus 2
1.34840410000e+16	Cardiomyopathy due to disease caused by 2019 novel coronavirus
1.34840710000e+16	Cardiomyopathy due to disease caused by 2019-nCoV (novel coronavirus)
105536013	Intermittent claudication
235911000006116	Peripheral vascular disease
300510018	Other specified peripheral vascular disease
742481000006118	Ischaemic leg
357895013	Ischaemic leg ulcer
350533013	Peripheral ischaemia
411512011	Claudication
375462013	Claudication distance
450665015	Ischaemic toe
300433019	Extremity artery atheroma
300550015	Peripheral arterial embolism and thrombosis NOS
300434013	Extremity artery atheroma NOS
300607015	Arterial insufficiency
300511019	Peripheral angiopathic disease EC NOS
1847121000006114	Peripheral arterial disease
1.39448410000e+16	Peripheral arterial disease
451376017	H/O: Peripheral vascular disease procedure
300963017	[X]Other specified peripheral vascular diseases
443199013	Ischaemic foot
1699111000006110	Ischaemic foot
1715241000006112	Vascular claudication
2377871000000112	Ischaemic foot pain at rest
2377911000000114	Ischaemic foot pain when walking
